Id,Category
HW00007556,5
HW00003881,7
HW00003622,7
HW00004970,6
HW00000496,6
HW00004271,1
HW00003631,7
HW00002219,1
HW00001029,1
HW00003739,7
HW00007317,8
HW00002827,1
HW00004853,1
HW00005050,2
HW00005094,1
HW00002521,2
HW00002339,0
HW00005042,1
HW00001688,6
HW00001958,1
HW00002754,0
HW00002711,1
HW00006095,1
HW00006299,6
HW00007288,1
HW00005314,7
HW00002428,9
HW00007385,2
HW00001766,0
HW00006483,1
HW00004663,6
HW00007166,0
HW00002874,7
HW00007804,7
HW00003473,0
HW00003388,6
HW00000923,2
HW00000602,9
HW00005328,2
HW00000214,3
HW00002208,0
HW00002776,2
HW00001891,6
HW00007005,7
HW00003661,6
HW00002805,7
HW00000133,2
HW00003015,7
HW00004308,1
HW00004850,0
HW00004240,6
HW00007936,1
HW00007265,9
HW00001788,7
HW00003815,7
HW00000441,6
HW00004261,6
HW00001316,6
HW00004488,7
HW00007891,0
HW00002581,6
HW00002044,1
HW00000294,9
HW00004534,6
HW00004097,6
HW00002031,0
HW00005456,9
HW00007080,6
HW00003434,2
HW00000974,2
HW00000090,1
HW00002130,2
HW00004167,1
HW00006478,9
HW00004053,6
HW00007650,6
HW00005568,1
HW00005571,2
HW00007746,7
HW00006263,6
HW00006012,9
HW00007611,4
HW00003270,1
HW00004596,2
HW00001867,2
HW00000891,3
HW00000875,7
HW00006463,0
HW00004732,1
HW00001347,7
HW00004246,1
HW00004731,0
HW00001039,2
HW00001011,7
HW00004619,2
HW00001695,0
HW00005554,7
HW00002584,2
HW00002543,6
HW00000567,1
HW00004503,1
HW00000126,0
HW00000286,9
HW00004618,7
HW00002419,0
HW00004151,7
HW00001237,2
HW00005330,7
HW00004242,9
HW00005701,2
HW00000073,7
HW00000387,1
HW00005192,7
HW00001127,1
HW00007035,0
HW00003960,6
HW00003172,9
HW00001693,3
HW00003420,1
HW00004739,6
HW00006368,0
HW00007316,7
HW00005559,6
HW00001175,7
HW00005329,0
HW00003337,0
HW00001944,7
HW00001377,2
HW00004738,1
HW00006941,1
HW00000620,1
HW00003834,0
HW00007602,7
HW00003525,6
HW00004201,9
HW00005383,7
HW00006549,4
HW00004566,9
HW00000912,4
HW00002963,2
HW00000434,6
HW00006152,8
HW00003978,2
HW00002171,6
HW00006369,1
HW00006462,7
HW00005503,6
HW00003360,7
HW00007308,1
HW00006032,6
HW00005111,2
HW00005105,0
HW00007374,4
HW00006347,2
HW00005499,6
HW00007112,2
HW00001792,2
HW00003970,6
HW00004126,6
HW00000916,4
HW00000996,8
HW00007808,6
HW00007563,6
HW00004340,7
HW00003489,4
HW00002214,7
HW00005316,2
HW00005567,1
HW00001869,1
HW00006619,6
HW00004076,0
HW00000832,6
HW00003110,7
HW00000454,9
HW00000955,0
HW00007571,1
HW00004476,1
HW00007063,6
HW00006248,9
HW00001772,6
HW00005639,7
HW00003163,0
HW00004737,1
HW00006477,0
HW00004218,4
HW00006439,2
HW00004077,6
HW00006469,1
HW00006151,6
HW00000714,1
HW00003613,7
HW00005744,8
HW00000911,2
HW00007099,0
HW00002567,8
HW00000402,4
HW00001738,6
HW00005977,0
HW00002645,2
HW00005603,2
HW00004973,6
HW00002759,2
HW00003413,2
HW00006207,2
HW00002695,8
HW00005030,1
HW00004143,1
HW00003952,1
HW00003096,0
HW00003074,0
HW00004200,7
HW00007386,4
HW00001208,6
HW00002397,2
HW00002215,2
HW00003034,7
HW00007717,6
HW00007039,5
HW00007767,0
HW00003468,1
HW00002589,1
HW00000596,6
HW00004171,7
HW00006062,9
HW00000555,0
HW00005331,4
HW00004409,6
HW00003140,7
HW00001144,1
HW00001163,2
HW00004942,1
HW00006294,6
HW00007019,3
HW00001589,6
HW00004607,7
HW00002842,6
HW00004048,4
HW00007754,1
HW00001433,6
HW00001129,2
HW00007797,7
HW00007718,2
HW00001462,0
HW00001081,2
HW00003099,1
HW00005735,8
HW00006219,7
HW00001160,2
HW00001603,6
HW00005208,1
HW00006765,2
HW00006920,2
HW00004709,1
HW00001298,6
HW00005482,4
HW00005662,8
HW00004287,9
HW00007741,5
HW00003475,2
HW00001429,4
HW00005361,7
HW00000878,7
HW00004518,7
HW00000754,1
HW00003100,2
HW00001382,2
HW00001651,2
HW00002661,1
